type,size,algorithm,time_ms,comparisons
random,2400,msd_radix,0.748852,5640
random,2400,msd_radix_cutoff,0.387792,12765
random,2500,quicksort,0.717867,46023
random,2500,mergesort,1.52688,35664
random,2500,string_quicksort,0.435571,26662
random,2500,string_mergesort,1.69435,19532
random,2500,msd_radix,0.764151,5887
random,2500,msd_radix_cutoff,0.417517,13465
random,2600,quicksort,0.716267,44957
random,2600,mergesort,1.58367,37443
random,2600,string_quicksort,0.467821,29057
random,2600,string_mergesort,1.8036,20265
random,2600,msd_radix,0.826054,6152
random,2600,msd_radix_cutoff,0.41048,14214
random,2700,quicksort,0.714149,46984
random,2700,mergesort,1.72665,39206
random,2700,string_quicksort,0.460248,29494
random,2700,string_mergesort,1.90937,21360
random,2700,msd_radix,0.866742,6417
random,2700,msd_radix_cutoff,2.56091,15308
random,2800,quicksort,0.894688,48958
random,2800,mergesort,1.87377,40886
random,2800,string_quicksort,0.484664,30874
random,2800,string_mergesort,2.06015,22013
random,2800,msd_radix,0.990771,6691
random,2800,msd_radix_cutoff,0.486065,15869
random,2900,quicksort,0.862354,51912
random,2900,mergesort,1.9155,42758
random,2900,string_quicksort,0.563898,33155
random,2900,string_mergesort,2.04968,23088
random,2900,msd_radix,0.960347,6961
random,2900,msd_radix_cutoff,0.481845,16337
random,3000,quicksort,0.893348,55352
random,3000,mergesort,1.95412,44472
random,3000,string_quicksort,0.538315,31912
random,3000,string_mergesort,2.07955,23723
random,3000,msd_radix,1.03321,7227
random,3000,msd_radix_cutoff,0.520984,17089
reverse,100,quicksort,0.0123926,945
reverse,100,mergesort,0.033787,598
reverse,100,string_quicksort,0.0094386,574
reverse,100,string_mergesort,0.0413304,431
reverse,100,msd_radix,0.0362214,234
reverse,100,msd_radix_cutoff,0.0162664,456
reverse,200,quicksort,0.0275822,2103
reverse,200,mergesort,0.0748654,1309
reverse,200,string_quicksort,0.019703,1286
reverse,200,string_mergesort,0.0928682,884
reverse,200,msd_radix,0.0650042,475
reverse,200,msd_radix_cutoff,0.028797,938
reverse,300,quicksort,0.0432804,3333
reverse,300,mergesort,0.121377,2044
reverse,300,string_quicksort,0.0309168,2010
reverse,300,string_mergesort,0.14362,1407
reverse,300,msd_radix,0.110374,720
reverse,300,msd_radix_cutoff,0.0429866,1400
reverse,400,quicksort,0.062225,4682
reverse,400,mergesort,0.160301,2845
reverse,400,string_quicksort,0.0449628,3018
reverse,400,string_mergesort,0.210368,1798
reverse,400,msd_radix,0.137047,967
reverse,400,msd_radix_cutoff,0.0572016,1869
reverse,500,quicksort,0.0791522,6035
reverse,500,mergesort,0.21795,3763
reverse,500,string_quicksort,0.0569434,3632
reverse,500,string_mergesort,0.253981,2445
reverse,500,msd_radix,0.203485,1206
reverse,500,msd_radix_cutoff,0.0680372,2378
reverse,600,quicksort,0.0926402,7311
reverse,600,mergesort,0.260509,4471
reverse,600,string_quicksort,0.0653268,4497
reverse,600,string_mergesort,0.295994,2881
reverse,600,msd_radix,0.205826,1453
reverse,600,msd_radix_cutoff,0.0796264,2874
reverse,700,quicksort,0.114411,8936
reverse,700,mergesort,0.300463,5354
reverse,700,string_quicksort,0.076525,5418
reverse,700,string_mergesort,0.344388,3267
reverse,700,msd_radix,0.249829,1691
reverse,700,msd_radix_cutoff,0.0954728,3372
reverse,800,quicksort,0.136671,10250
reverse,800,mergesort,0.360059,6121
reverse,800,string_quicksort,0.0916276,6352
reverse,800,string_mergesort,0.427851,3638
reverse,800,msd_radix,0.267451,1918
reverse,800,msd_radix_cutoff,0.101971,3821
reverse,900,quicksort,0.147428,11580
reverse,900,mergesort,0.378134,7018
reverse,900,string_quicksort,0.0990088,7111
reverse,900,string_mergesort,0.436282,4166
reverse,900,msd_radix,0.310248,2162
reverse,900,msd_radix_cutoff,0.120802,4299
reverse,1000,quicksort,0.174881,12977
reverse,1000,mergesort,0.447158,8050
reverse,1000,string_quicksort,0.114027,8086
reverse,1000,string_mergesort,0.528314,4978
reverse,1000,msd_radix,0.330766,2390
reverse,1000,msd_radix_cutoff,0.139726,4754
reverse,1100,quicksort,0.191565,14444
reverse,1100,mergesort,0.489528,8713
reverse,1100,string_quicksort,0.130228,9093
reverse,1100,string_mergesort,0.595555,5432
reverse,1100,msd_radix,0.40349,2623
reverse,1100,msd_radix_cutoff,0.14013,5214
reverse,1200,quicksort,0.210756,15845
reverse,1200,mergesort,0.549057,9513
reverse,1200,string_quicksort,0.150224,10078
reverse,1200,string_mergesort,0.651251,5793
reverse,1200,msd_radix,0.368333,2863
reverse,1200,msd_radix_cutoff,0.157473,5686
reverse,1300,quicksort,0.234918,17597
reverse,1300,mergesort,0.585773,10334
reverse,1300,string_quicksort,0.156807,10996
reverse,1300,string_mergesort,0.686965,6168
reverse,1300,msd_radix,0.440027,3108
reverse,1300,msd_radix_cutoff,0.179968,6132
reverse,1400,quicksort,0.258801,19057
reverse,1400,mergesort,0.669714,11305
reverse,1400,string_quicksort,0.184703,11995
reverse,1400,string_mergesort,0.979795,6602
reverse,1400,msd_radix,0.417804,3351
reverse,1400,msd_radix_cutoff,0.17715,6613
reverse,1500,quicksort,0.277633,20609
reverse,1500,mergesort,0.698365,12171
reverse,1500,string_quicksort,0.18428,13001
reverse,1500,string_mergesort,0.913998,6960
reverse,1500,msd_radix,0.476064,3593
reverse,1500,msd_radix_cutoff,0.189661,7061
reverse,1600,quicksort,0.298537,22053
reverse,1600,mergesort,0.725621,13054
reverse,1600,string_quicksort,0.227468,14063
reverse,1600,string_mergesort,0.878619,7372
reverse,1600,msd_radix,0.506595,3842
reverse,1600,msd_radix_cutoff,0.2135,7532
reverse,1700,quicksort,0.305411,23468
reverse,1700,mergesort,0.80149,13951
reverse,1700,string_quicksort,0.209648,14849
reverse,1700,string_mergesort,1.05156,7949
reverse,1700,msd_radix,0.566397,4088
reverse,1700,msd_radix_cutoff,0.230448,8000
reverse,1800,quicksort,0.340146,24851
reverse,1800,mergesort,0.862147,14914
reverse,1800,string_quicksort,0.233789,15902
reverse,1800,string_mergesort,1.00885,8455
reverse,1800,msd_radix,0.574353,4327
reverse,1800,msd_radix_cutoff,0.228881,8461
reverse,1900,quicksort,0.337079,26415
reverse,1900,mergesort,0.885922,15880
reverse,1900,string_quicksort,0.239023,16914
reverse,1900,string_mergesort,1.06251,9091
reverse,1900,msd_radix,0.598263,4565
reverse,1900,msd_radix_cutoff,0.238634,8943
reverse,2000,quicksort,0.382998,27925
reverse,2000,mergesort,0.91612,17078
reverse,2000,string_quicksort,0.243413,18022
reverse,2000,string_mergesort,1.05839,9999
reverse,2000,msd_radix,0.655565,4807
reverse,2000,msd_radix_cutoff,0.275692,9384
reverse,2100,quicksort,0.372652,29505
reverse,2100,mergesort,0.965688,17921
reverse,2100,string_quicksort,0.264005,19212
reverse,2100,string_mergesort,1.23781,10764
reverse,2100,msd_radix,0.767244,5057
reverse,2100,msd_radix_cutoff,0.288225,9866
reverse,2200,quicksort,0.394687,30823
reverse,2200,mergesort,1.06862,18580
reverse,2200,string_quicksort,0.30368,20237
reverse,2200,string_mergesort,1.23243,11128
reverse,2200,msd_radix,0.722055,5289
reverse,2200,msd_radix_cutoff,0.325054,10338
reverse,2300,quicksort,0.503024,32680
reverse,2300,mergesort,1.09043,19433
reverse,2300,string_quicksort,0.288484,21273
reverse,2300,string_mergesort,1.31319,11491
reverse,2300,msd_radix,0.787051,5534
reverse,2300,msd_radix_cutoff,0.308017,10809
reverse,2400,quicksort,0.449018,33993
reverse,2400,mergesort,1.17035,20144
reverse,2400,string_quicksort,0.327263,22413
reverse,2400,string_mergesort,1.33878,11754
reverse,2400,msd_radix,0.819005,5780
reverse,2400,msd_radix_cutoff,0.365518,11271
reverse,2500,quicksort,0.541209,35694
reverse,2500,mergesort,1.18977,21306
reverse,2500,string_quicksort,0.311254,23399
reverse,2500,string_mergesort,1.46679,12392
reverse,2500,msd_radix,0.811183,6014
reverse,2500,msd_radix_cutoff,0.336717,11754
reverse,2600,quicksort,0.488226,37645
reverse,2600,mergesort,2.41343,22008
reverse,2600,string_quicksort,0.449913,24632
reverse,2600,string_mergesort,1.56499,12613
reverse,2600,msd_radix,0.912899,6257
reverse,2600,msd_radix_cutoff,0.353416,12227
reverse,2700,quicksort,0.510856,39248
reverse,2700,mergesort,1.42518,22812
reverse,2700,string_quicksort,0.374484,25706
reverse,2700,string_mergesort,1.54238,12959
reverse,2700,msd_radix,0.912672,6501
reverse,2700,msd_radix_cutoff,0.419099,12709
reverse,2800,quicksort,0.609108,40718
reverse,2800,mergesort,1.46707,23835
reverse,2800,string_quicksort,0.377646,26618
reverse,2800,string_mergesort,1.61087,13340
reverse,2800,msd_radix,0.930697,6748
reverse,2800,msd_radix_cutoff,0.390555,13172
reverse,2900,quicksort,0.586882,42364
reverse,2900,mergesort,1.39751,24604
reverse,2900,string_quicksort,0.371848,27842
reverse,2900,string_mergesort,1.69432,13696
reverse,2900,msd_radix,0.964689,6983
reverse,2900,msd_radix_cutoff,0.424217,13637
reverse,3000,quicksort,0.622896,44038
reverse,3000,mergesort,1.67045,25843
