type,size,algorithm,time_ms,comparisons
reverse,200,quicksort,0.0259996,2103
reverse,200,mergesort,0.0666996,1309
reverse,300,quicksort,0.0420904,3333
reverse,300,mergesort,0.104603,2044
reverse,400,quicksort,0.0608296,4682
reverse,400,mergesort,0.161935,2845
reverse,500,quicksort,0.0788356,6035
reverse,500,mergesort,0.191935,3763
reverse,600,quicksort,0.091788,7311
reverse,600,mergesort,0.234062,4471
reverse,700,quicksort,0.113616,8936
reverse,700,mergesort,0.275507,5354
reverse,800,quicksort,0.133719,10250
reverse,800,mergesort,0.322408,6121
reverse,900,quicksort,0.149699,11580
reverse,900,mergesort,0.367481,7018
reverse,1000,quicksort,0.170243,12977
reverse,1000,mergesort,0.411049,8050
reverse,1100,quicksort,0.195917,14444
reverse,1100,mergesort,0.500577,8713
reverse,1200,quicksort,0.207682,15845
reverse,1200,mergesort,0.522912,9513
reverse,1300,quicksort,0.223653,17597
reverse,1300,mergesort,0.582663,10334
reverse,1400,quicksort,0.249116,19057
reverse,1400,mergesort,0.600924,11305
reverse,1500,quicksort,0.269766,20609
reverse,1500,mergesort,0.646449,12171
reverse,1600,quicksort,0.295272,22053
reverse,1600,mergesort,0.698095,13054
reverse,1700,quicksort,0.298778,23468
reverse,1700,mergesort,0.751258,13951
reverse,1800,quicksort,0.334053,24851
reverse,1800,mergesort,0.803192,14914
reverse,1900,quicksort,0.354049,26415
reverse,1900,mergesort,0.83962,15880
reverse,2000,quicksort,0.376489,27925
reverse,2000,mergesort,0.924164,17078
reverse,2100,quicksort,0.398015,29505
reverse,2100,mergesort,0.983957,17921
reverse,2200,quicksort,0.433116,30823
reverse,2200,mergesort,1.03311,18580
reverse,2300,quicksort,0.440426,32680
reverse,2300,mergesort,1.06711,19433
reverse,2400,quicksort,0.460963,33993
reverse,2400,mergesort,1.14047,20144
reverse,2500,quicksort,0.484614,35694
reverse,2500,mergesort,1.20973,21306
reverse,2600,quicksort,0.78237,37645
reverse,2600,mergesort,1.28604,22008
reverse,2700,quicksort,0.530169,39248
reverse,2700,mergesort,1.44521,22812
reverse,2800,quicksort,0.555164,40718
reverse,2800,mergesort,1.37198,23835
reverse,2900,quicksort,0.610114,42364
reverse,2900,mergesort,1.39713,24604
reverse,3000,quicksort,0.582242,44038
reverse,3000,mergesort,1.44543,25843
nearly_sorted,100,quicksort,0.011233,907
nearly_sorted,100,mergesort,0.0264498,682
nearly_sorted,200,quicksort,0.023964,1994
nearly_sorted,200,mergesort,0.060031,1635
nearly_sorted,300,quicksort,0.0387762,3165
nearly_sorted,300,mergesort,0.0993068,2592
nearly_sorted,400,quicksort,0.0697024,4433
nearly_sorted,400,mergesort,0.144641,3816
nearly_sorted,500,quicksort,0.0699318,5639
nearly_sorted,500,mergesort,0.188203,4692
nearly_sorted,600,quicksort,0.085295,6965
nearly_sorted,600,mergesort,0.239152,5992
nearly_sorted,700,quicksort,0.1057,8347
nearly_sorted,700,mergesort,0.275278,6915
nearly_sorted,800,quicksort,0.122659,9633
nearly_sorted,800,mergesort,0.326197,8126
nearly_sorted,900,quicksort,0.13719,10933
nearly_sorted,900,mergesort,0.369289,9064
nearly_sorted,1000,quicksort,0.157216,12276
nearly_sorted,1000,mergesort,0.409602,10046
nearly_sorted,1100,quicksort,0.168813,13617
nearly_sorted,1100,mergesort,0.467435,11202
nearly_sorted,1200,quicksort,0.191297,15146
nearly_sorted,1200,mergesort,0.534417,12804
nearly_sorted,1300,quicksort,0.220512,16548
nearly_sorted,1300,mergesort,0.567741,14261
nearly_sorted,1400,quicksort,0.227862,18037
nearly_sorted,1400,mergesort,0.598131,14894
nearly_sorted,1500,quicksort,0.258023,19530
nearly_sorted,1500,mergesort,0.659985,16286
nearly_sorted,1600,quicksort,0.278867,21018
nearly_sorted,1600,mergesort,0.717046,17107
nearly_sorted,1700,quicksort,0.284785,22390
nearly_sorted,1700,mergesort,0.748598,18309
nearly_sorted,1800,quicksort,0.303715,24305
nearly_sorted,1800,mergesort,0.830183,19429
nearly_sorted,1900,quicksort,0.352955,26732
nearly_sorted,1900,mergesort,0.881264,20611
nearly_sorted,2000,quicksort,0.358265,28029
nearly_sorted,2000,mergesort,0.908986,20669
nearly_sorted,2100,quicksort,0.379889,29682
nearly_sorted,2100,mergesort,0.987057,21735
nearly_sorted,2200,quicksort,0.407504,31156
nearly_sorted,2200,mergesort,1.0068,23033
nearly_sorted,2300,quicksort,0.43801,33108
nearly_sorted,2300,mergesort,1.07401,24486
nearly_sorted,2400,quicksort,0.454388,34637
nearly_sorted,2400,mergesort,1.12767,26017
nearly_sorted,2500,quicksort,0.475697,36759
nearly_sorted,2500,mergesort,1.1924,27354
nearly_sorted,2600,quicksort,0.494451,38823
nearly_sorted,2600,mergesort,1.26989,28764
nearly_sorted,2700,quicksort,0.538606,40356
nearly_sorted,2700,mergesort,1.27612,29618
nearly_sorted,2800,quicksort,0.554726,42444
nearly_sorted,2800,mergesort,1.35275,30493
nearly_sorted,2900,quicksort,0.585266,44124
nearly_sorted,2900,mergesort,1.35006,31562
nearly_sorted,3000,quicksort,0.591683,45156
nearly_sorted,3000,mergesort,1.40856,32702
prefix_random,100,quicksort,0.0303392,5318
prefix_random,100,mergesort,0.050215,5366
prefix_random,200,quicksort,0.078188,15846
prefix_random,200,mergesort,0.123259,15597
prefix_random,300,quicksort,0.146657,31208
prefix_random,300,mergesort,0.219275,28319
prefix_random,400,quicksort,0.227335,47695
prefix_random,400,mergesort,0.32673,42567
prefix_random,500,quicksort,0.281011,61383
prefix_random,500,mergesort,0.414914,57688
prefix_random,600,quicksort,0.365338,81603
prefix_random,600,mergesort,0.515438,74122
prefix_random,700,quicksort,0.464622,102366
prefix_random,700,mergesort,0.645529,92303
prefix_random,800,quicksort,0.5346,117447
prefix_random,800,mergesort,0.730134,109398
prefix_random,900,quicksort,0.681142,149512
prefix_random,900,mergesort,0.864203,127888
prefix_random,1000,quicksort,0.75869,167447
prefix_random,1000,mergesort,0.972073,145770
prefix_random,1100,quicksort,0.82281,184220
prefix_random,1100,mergesort,1.08576,166428
prefix_random,1200,quicksort,0.970046,217863
prefix_random,1200,mergesort,1.26788,184638
prefix_random,1300,quicksort,1.11132,238105
prefix_random,1300,mergesort,1.29475,204639
prefix_random,1400,quicksort,1.14559,266210
prefix_random,1400,mergesort,1.50542,226238
prefix_random,1500,quicksort,1.2293,289175
prefix_random,1500,mergesort,1.5551,247641
prefix_random,1600,quicksort,1.30744,304338
prefix_random,1600,mergesort,1.69339,268303
prefix_random,1700,quicksort,1.43674,326719
prefix_random,1700,mergesort,1.80745,289098
prefix_random,1800,quicksort,1.56357,363434
prefix_random,1800,mergesort,1.94811,311040
prefix_random,1900,quicksort,1.80243,395326
prefix_random,1900,mergesort,2.11996,333260
prefix_random,2000,quicksort,1.8142,428022
prefix_random,2000,mergesort,2.2011,353293
prefix_random,2100,quicksort,1.88738,438406
prefix_random,2100,mergesort,2.32246,375812
prefix_random,2200,quicksort,2.0453,477618
prefix_random,2200,mergesort,2.49171,398648
prefix_random,2300,quicksort,2.13003,487743
prefix_random,2300,mergesort,2.60484,421160
prefix_random,2400,quicksort,2.33249,538594
prefix_random,2400,mergesort,2.76725,442999
prefix_random,2500,quicksort,2.3374,542387
prefix_random,2500,mergesort,3.15468,469084
prefix_random,2600,quicksort,2.51736,602552
prefix_random,2600,mergesort,3.00011,489580
prefix_random,2700,quicksort,2.59566,613892
prefix_random,2700,mergesort,3.30849,515387
prefix_random,2800,quicksort,2.88469,655174
prefix_random,2800,mergesort,3.38096,539783
prefix_random,2900,quicksort,2.79519,645975
prefix_random,2900,mergesort,3.47714,562761
prefix_random,3000,quicksort,3.04204,714276
prefix_random,3000,mergesort,3.55524,587856
prefix_reverse,100,quicksort,0.063039,16009
prefix_reverse,100,mergesort,0.06478,9863
prefix_reverse,200,quicksort,0.141055,35368
prefix_reverse,200,mergesort,0.133721,20545
prefix_reverse,300,quicksort,0.222978,56445
prefix_reverse,300,mergesort,0.218881,32617
prefix_reverse,400,quicksort,0.294957,74552
prefix_reverse,400,mergesort,0.281845,43877
prefix_reverse,500,quicksort,0.366458,91275
prefix_reverse,500,mergesort,0.381145,56499
prefix_reverse,600,quicksort,0.462351,116414
prefix_reverse,600,mergesort,0.440161,65377
prefix_reverse,700,quicksort,0.543588,133749
prefix_reverse,700,mergesort,0.526711,79437
prefix_reverse,800,quicksort,0.65777,153937
prefix_reverse,800,mergesort,0.618254,88132
prefix_reverse,900,quicksort,0.673906,173160
prefix_reverse,900,mergesort,0.682718,103834
prefix_reverse,1000,quicksort,0.797149,191465
prefix_reverse,1000,mergesort,0.768259,115029
prefix_reverse,1100,quicksort,0.819728,207021
prefix_reverse,1100,mergesort,0.83104,122554
prefix_reverse,1200,quicksort,0.923993,233039
prefix_reverse,1200,mergesort,0.921552,135174
prefix_reverse,1300,quicksort,0.997547,254893
prefix_reverse,1300,mergesort,0.996481,148210
prefix_reverse,1400,quicksort,1.12345,270837
prefix_reverse,1400,mergesort,1.08058,160445
prefix_reverse,1500,quicksort,1.18604,291107
prefix_reverse,1500,mergesort,1.165,172214
prefix_reverse,1600,quicksort,1.28698,313861
prefix_reverse,1600,mergesort,1.26072,184192
prefix_reverse,1700,quicksort,1.34486,328703
prefix_reverse,1700,mergesort,1.36436,195352
prefix_reverse,1800,quicksort,1.47107,355177
prefix_reverse,1800,mergesort,1.4395,211640
prefix_reverse,1900,quicksort,1.50582,370159
prefix_reverse,1900,mergesort,1.54274,224716
prefix_reverse,2000,quicksort,1.58654,388485
prefix_reverse,2000,mergesort,1.62219,234425
prefix_reverse,2100,quicksort,1.70629,410378
prefix_reverse,2100,mergesort,1.72704,250486
prefix_reverse,2200,quicksort,1.74391,425173
prefix_reverse,2200,mergesort,1.81591,255918
prefix_reverse,2300,quicksort,1.82173,447571
prefix_reverse,2300,mergesort,1.89401,261584
prefix_reverse,2400,quicksort,1.94998,477876
prefix_reverse,2400,mergesort,2.01665,273038
prefix_reverse,2500,quicksort,2.05684,490923
prefix_reverse,2500,mergesort,2.0286,290358
prefix_reverse,2600,quicksort,2.12512,514134
prefix_reverse,2600,mergesort,2.15098,297980
prefix_reverse,2700,quicksort,2.19515,536618
prefix_reverse,2700,mergesort,2.32969,314586
prefix_reverse,2800,quicksort,2.2792,547114
prefix_reverse,2800,mergesort,2.30658,323132
prefix_reverse,2900,quicksort,2.38328,573966
prefix_reverse,2900,mergesort,2.42898,339120
prefix_reverse,3000,quicksort,2.49054,587073
prefix_reverse,3000,mergesort,2.48439,348357
prefix_nearly,100,quicksort,0.0570716,14892
prefix_nearly,100,mergesort,0.0596402,11026
prefix_nearly,200,quicksort,0.124773,32384
prefix_nearly,200,mergesort,0.13541,24764
prefix_nearly,300,quicksort,0.198856,51860
prefix_nearly,300,mergesort,0.22905,39783
prefix_nearly,400,quicksort,0.263897,68471
prefix_nearly,400,mergesort,0.30516,48785
prefix_nearly,500,quicksort,0.346028,85513
prefix_nearly,500,mergesort,0.38307,61121
prefix_nearly,600,quicksort,0.420645,108706
prefix_nearly,600,mergesort,0.498876,77764
prefix_nearly,700,quicksort,0.500472,124266
prefix_nearly,700,mergesort,0.548996,91713
prefix_nearly,800,quicksort,0.588472,142136
prefix_nearly,800,mergesort,0.67796,106536
prefix_nearly,900,quicksort,0.649997,159384
prefix_nearly,900,mergesort,0.747253,118470
prefix_nearly,1000,quicksort,0.707349,178742
prefix_nearly,1000,mergesort,0.795786,128474
prefix_nearly,1100,quicksort,0.788256,195808
prefix_nearly,1100,mergesort,0.92307,145320
prefix_nearly,1200,quicksort,0.884437,221636
prefix_nearly,1200,mergesort,1.04791,159144
prefix_nearly,1300,quicksort,1.1068,233971
prefix_nearly,1300,mergesort,1.12059,172546
prefix_nearly,1400,quicksort,1.03283,254427
prefix_nearly,1400,mergesort,1.31067,190265
prefix_nearly,1500,quicksort,1.12495,273876
prefix_nearly,1500,mergesort,1.30973,201086
prefix_nearly,1600,quicksort,1.2125,292868
prefix_nearly,1600,mergesort,1.36929,212337
prefix_nearly,1700,quicksort,1.29244,312897
prefix_nearly,1700,mergesort,1.488,234025
prefix_nearly,1800,quicksort,1.45118,339845
prefix_nearly,1800,mergesort,1.55058,244890
prefix_nearly,1900,quicksort,1.53001,370853
prefix_nearly,1900,mergesort,1.68781,258036
prefix_nearly,2000,quicksort,1.58303,390689
prefix_nearly,2000,mergesort,1.74444,270738
prefix_nearly,2100,quicksort,1.67032,412514
prefix_nearly,2100,mergesort,1.8426,283477
prefix_nearly,2200,quicksort,1.78718,431125
prefix_nearly,2200,mergesort,2.00808,303209
prefix_nearly,2300,quicksort,1.86506,461921
prefix_nearly,2300,mergesort,2.0639,327806
prefix_nearly,2400,quicksort,1.95873,485072
prefix_nearly,2400,mergesort,2.15418,335596
prefix_nearly,2500,quicksort,2.03476,496589
prefix_nearly,2500,mergesort,2.25964,350849
prefix_nearly,2600,quicksort,2.16896,525865
prefix_nearly,2600,mergesort,2.35759,369410
prefix_nearly,2700,quicksort,2.27506,555507
prefix_nearly,2700,mergesort,2.49542,391851
prefix_nearly,2800,quicksort,2.38537,575252
prefix_nearly,2800,mergesort,2.55249,403261
prefix_nearly,2900,quicksort,2.49161,603794
prefix_nearly,2900,mergesort,2.65975,418143
prefix_nearly,3000,quicksort,2.50176,608887
prefix_nearly,3000,mergesort,2.73207,420812
