type,size,algorithm,time_ms,comparisons
random,100,quicksort,0.0128994,753
random,100,mergesort,0.0341588,603
random,200,quicksort,0.0353454,1628
random,200,mergesort,0.0835186,1516
random,300,quicksort,0.0533322,3194
random,300,mergesort,0.133172,2540
random,400,quicksort,0.0700618,4072
random,400,mergesort,0.17818,3692
random,500,quicksort,0.116375,6796
random,500,mergesort,0.248511,4895
random,600,quicksort,0.147579,7625
random,600,mergesort,0.298433,6121
random,700,quicksort,0.147848,9080
random,700,mergesort,0.359824,7456
random,800,quicksort,0.173835,10274
random,800,mergesort,0.4177,8836
random,900,quicksort,0.21257,12509
random,900,mergesort,0.460295,10215
random,1000,quicksort,0.244858,14839
random,1000,mergesort,0.536851,11687
random,1100,quicksort,0.25319,15658
random,1100,mergesort,0.576484,13038
random,1200,quicksort,0.291803,18283
random,1200,mergesort,0.636965,14565
random,1300,quicksort,0.293478,18236
random,1300,mergesort,0.711668,16103
random,1400,quicksort,0.340786,21946
random,1400,mergesort,0.75832,17642
random,1500,quicksort,0.360075,23091
random,1500,mergesort,0.822641,19175
random,1600,quicksort,0.374821,23399
random,1600,mergesort,0.948538,20785
random,1700,quicksort,0.414155,26062
random,1700,mergesort,0.967974,22405
random,1800,quicksort,0.447402,28576
random,1800,mergesort,1.15143,23945
random,1900,quicksort,0.474022,30372
random,1900,mergesort,1.0802,25622
random,2000,quicksort,0.555735,35600
random,2000,mergesort,1.16568,27244
random,2100,quicksort,0.575647,34821
random,2100,mergesort,1.23155,28887
random,2200,quicksort,0.570983,36972
random,2200,mergesort,1.27507,30536
random,2300,quicksort,0.60576,39090
random,2300,mergesort,1.64668,32227
random,2400,quicksort,0.683449,43407
random,2400,mergesort,1.44607,33966
random,2500,quicksort,0.731981,46023
random,2500,mergesort,1.48395,35664
random,2600,quicksort,0.68108,44957
random,2600,mergesort,1.5833,37443
random,2700,quicksort,0.722318,46984
random,2700,mergesort,1.62494,39206
random,2800,quicksort,0.748432,48958
random,2800,mergesort,1.69066,40886
random,2900,quicksort,0.834825,51912
random,2900,mergesort,1.74226,42758
random,3000,quicksort,0.857381,55352
random,3000,mergesort,1.82298,44472
reverse,100,quicksort,0.0115982,945
reverse,100,mergesort,0.0298858,598
